IDPelanggan,Kelamin,Usia,Rating_belanja (1-100),Pendapatan (juta Rp)
1,Perempuan,23,87,29
2,Laki,60,4,30
3,Perempuan,21,73,30
4,Laki,53,4,33
5,Laki,18,92,33
6,Perempuan,49,14,33
7,Perempuan,21,81,33
8,Perempuan,42,17,34
9,Perempuan,30,73,34
10,Perempuan,36,26,37
11,Perempuan,20,75,37
12,Perempuan,65,35,38
13,Laki,24,92,38
14,Laki,48,36,39
15,Perempuan,31,61,39
16,Perempuan,49,28,39
17,Perempuan,24,65,39
18,Perempuan,50,55,40
19,Perempuan,27,47,40
20,Laki,19,39,15
21,Laki,21,81,15
22,Perempuan,20,6,16
23,Perempuan,23,77,16
24,Perempuan,31,40,17
25,Perempuan,22,76,17
26,Perempuan,35,6,18
27,Perempuan,23,94,18
28,Laki,64,3,19
29,Perempuan,30,72,19
30,Laki,67,14,19
31,Perempuan,35,99,19
32,Perempuan,58,15,20
33,Perempuan,24,77,20
34,Laki,37,13,20
35,Laki,22,79,20
36,Perempuan,35,35,21
37,Laki,20,66,21
38,Laki,52,29,23
39,Perempuan,35,98,23
40,Laki,35,35,24
41,Laki,25,73,24
42,Perempuan,46,5,25
43,Laki,31,73,25
44,Perempuan,54,14,28
45,Laki,29,82,28
46,Perempuan,45,32,28
47,Laki,35,61,28
48,Perempuan,40,31,29
49,Perempuan,29,42,40
50,Perempuan,31,42,40
51,Perempuan,49,52,42
52,Laki,33,60,42
53,Perempuan,31,54,43
54,Laki,59,60,43
55,Perempuan,50,45,43
56,Laki,47,41,43
57,Perempuan,51,50,44
58,Laki,69,46,44
59,Perempuan,27,51,46
60,Laki,53,46,46
61,Laki,70,56,46
62,Laki,19,55,46
63,Perempuan,67,52,47
64,Perempuan,54,59,47
65,Laki,63,51,48
66,Laki,18,59,48
67,Perempuan,43,50,48
68,Perempuan,68,48,48
69,Laki,19,59,48
70,Perempuan,32,47,48
71,Laki,70,55,49
72,Perempuan,47,42,49
73,Perempuan,60,49,50
74,Perempuan,60,56,50
75,Laki,59,47,54
76,Laki,26,54,54
77,Perempuan,45,53,54
78,Laki,40,48,54
79,Perempuan,23,52,54
80,Perempuan,49,42,54
81,Laki,57,51,54
82,Laki,38,55,54
83,Laki,67,41,54
84,Perempuan,46,44,54
85,Perempuan,21,57,54
86,Laki,48,46,54
87,Perempuan,55,58,57
88,Perempuan,22,55,57
89,Perempuan,34,60,58
90,Perempuan,50,46,58
91,Perempuan,68,55,59
92,Laki,18,41,59
93,Laki,48,49,60
94,Perempuan,40,40,60
95,Perempuan,32,42,60
96,Laki,24,52,60
97,Perempuan,47,47,60
98,Perempuan,27,50,60
99,Laki,48,42,61
100,Laki,20,49,61
101,Perempuan,23,41,62
102,Perempuan,49,48,62
103,Laki,67,59,62
104,Laki,26,55,62
105,Laki,49,56,62
106,Perempuan,21,42,62
107,Perempuan,66,50,63
108,Laki,54,46,63
109,Laki,68,43,63
110,Laki,66,48,63
111,Laki,65,52,63
112,Perempuan,19,54,63
113,Perempuan,38,42,64
114,Laki,19,46,64
115,Perempuan,18,48,65
116,Perempuan,19,50,65
117,Perempuan,63,43,65
118,Perempuan,49,59,65
119,Perempuan,51,43,67
120,Perempuan,50,57,67
121,Laki,27,56,67
122,Perempuan,38,40,67
123,Perempuan,40,58,69
124,Laki,39,91,69
125,Perempuan,23,29,70
126,Perempuan,31,77,70
127,Laki,43,35,71
128,Laki,40,95,71
129,Laki,59,11,71
130,Laki,38,75,71
131,Laki,47,9,71
132,Laki,39,75,71
133,Perempuan,25,34,72
134,Perempuan,31,71,72
135,Laki,20,5,73
136,Perempuan,29,88,73
137,Perempuan,44,7,73
138,Laki,32,73,73
139,Laki,19,10,74
140,Laki,58,15,88
141,Laki,27,69,88
142,Laki,59,14,93
143,Laki,35,90,93
144,Perempuan,37,32,97
145,Perempuan,32,86,97
146,Laki,46,15,98
147,Perempuan,29,88,98
148,Perempuan,41,39,99
149,Laki,30,97,99
150,Perempuan,54,24,101
151,Laki,28,68,101
152,Perempuan,41,17,103
153,Perempuan,36,85,103
154,Perempuan,34,23,103
155,Perempuan,32,69,103
156,Laki,33,8,113
157,Perempuan,38,91,113
158,Perempuan,47,16,120
159,Perempuan,35,79,120
160,Perempuan,45,28,126
161,Laki,32,74,126
162,Laki,32,18,137
163,Laki,30,83,137
164,Perempuan,35,72,74
165,Perempuan,57,5,75
166,Laki,32,93,75
167,Perempuan,28,40,76
168,Perempuan,32,87,76
169,Laki,25,12,77
170,Laki,28,97,77
171,Laki,48,36,77
172,Perempuan,32,74,77
173,Perempuan,34,22,78
174,Laki,34,90,78
175,Laki,43,17,78
176,Laki,39,88,78
177,Perempuan,44,20,78
178,Perempuan,38,76,78
179,Perempuan,47,16,78
180,Perempuan,27,89,78
181,Laki,37,1,78
182,Perempuan,30,78,78
183,Laki,34,1,78
184,Perempuan,30,73,78
185,Perempuan,56,35,79
186,Perempuan,29,83,79
187,Laki,19,5,81
188,Perempuan,31,93,81
189,Laki,50,26,85
190,Perempuan,36,75,85
191,Laki,42,20,86
192,Perempuan,33,95,86
193,Perempuan,36,27,87
194,Laki,32,63,87
195,Laki,40,13,87
196,Laki,28,75,87
197,Laki,36,10,87
198,Laki,36,92,87
199,Perempuan,52,13,88
200,Perempuan,30,86,88
